Timestamp,Which machine library do you use the most?,Which areas or modality of machine learning / science does your team work on?,Which use-cases does your team use machine learning for?,"How long does it take your team to productionise a model (including data ingestion, etc)? ",Which cloud platform do you use the most?,Select the top 3 biggest challenges that you face when productionising your machine learning models,"For Model Registry and/or Experiment tracking, what tool do you use the most? Skip this question if you don't use any.","For Feature Store, what tool do you use the most? Skip this question if you don't use any.","For Vector Database, what tool do you use the most? Skip this question if you don't use any.","For ETL / Workflow Orchestrator, what tool do you use the most? Skip this question if you don't use any.","For Model Training and Experimentation Platform, what tool do you use the most? Skip this question if you don't use any.","For Real Time Model Serving, what tool do you use the most? Skip this question if you don't use any.","For Model Monitoring, what tool do you use the most? Skip this question if you don't use any.","For Central Data Platform / Data Lake, what tool do you use the most? Skip this question if you don't use any.","For Managed Foundation Model / LLM Api Services, what tool do you use the most? Skip this question if you don't use any.",Which industry are you in?,How large is your organisation?,How models does your organisation have in production? This can be a guesstimate and doesn't have to be an accurate number.,"In 12 months from today, how many models does your organisation plan to have in production by then? This can be a guesstimate and doesn't have to be an accurate number.",Select which of the following your organisation has set up:,What approximate percentage of your models run real-time INFERENCE instead of batch?,"When productionising a machine learning model, does your infrastructure enable any of the following deployment methods?","What is the ""job family"" of your role?",How would you describe your role?,What is your age?,What is your country of residence?,How do you self identify?,Name of your company / employer,Score,Email Address
23/09/2025 08:44:25,Sklearn,Causal Inference,Demand Forecasting,Less than 3 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines",MLFlow,FEAST,Pinecone,Airflow,Azure ML Studio,BentoML,Evidently AI,Deltalake,Azure AI,Hospitality,50-250 employees,10-20,5-9,A Developer Productivity Team which also covers machine learning,Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Director/VP,45-49,India ,Male,,,
28/09/2025 14:09:59,,Causal Inference,Search,,Amazon Web Services,Inconsistency of training and experimentation environments,,,,,,,,,,,"250-1,000 employees",,,,,,,,,,,,,
28/09/2025 14:26:15,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Fraud, Risk, Pricing, ",Less than a week,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Governance and domain risks",,Custom Built In-house tool,Pinecone,Custom Built In-house tool,,KServe,,Snowflake,Google Gemini,Transportation & warehousing,,10-20,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Business / Domain Practitioner,C-Suite,40-44,South Africa ,Male,Kasnadistributors ,,
28/09/2025 14:38:13,Sklearn,"Causal Inference, Image / Computer Vision, LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Fraud, Risk, Pricing",Less than a week,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines",MLFlow,,Pinecone,Custom Built In-house tool,Custom Built In-house tool,KServe,Evidently AI,Azure DataLake,OpenAI,Utilities,"250-1,000 employees",10-20,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Director/VP,40-44,South Africa ,Male,Kasnadistributors ,,
28/09/2025 15:40:42,Lightgbm,"Image / Computer Vision, Tabular, Time Series / Forecasting",AI Products,Less than 6 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",MLFlow,,,Airflow,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Evidently AI,GCP / BigLake,,Utilities,"5,000-50,000 employees",10-20,10-20,Central Machine Learning Platform / Team,Less than 10%,Development-Staging-Production Environments,Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,,Male,,,
29/09/2025 01:43:03,PyTorch/Lightning/Fast.ai,Tabular,Fraud,Less than 3 months,Amazon Web Services,Access to relevant data for training,MLFlow,Custom Implementation,,Temporal,Custom,Custom Built In-house tool,Custom Built In-house tool,AWS / Lakeformation,OpenAI,Technology,10-50 employees,2-5,2-5,A Developer Productivity Team which also covers machine learning,More than 90%,A/B Tests for Models,Machine Learning Engineer,Director/VP,40-44,Australia,Male,,,
29/09/2025 03:46:51,Sklearn,"LLMs, Tabular, Time Series / Forecasting",Demand Forecasting,Less than a week,Google Cloud Platform,"Lack of specialised data scientists, Machine learning security, Governance and domain risks",MLFlow,,Pinecone,Dagster,,AWS Lambda,,,OpenAI,Consultancy,50-250 employees,2-5,0,AI Risk & Governance Function,Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,,,,,
01/10/2025 09:23:18,Sklearn,"Causal Inference, LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM)",Chatbot,Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",Spreadsheets,,Pinecone,Amazon Glue,Amazon SageMaker,FastAPI/Flask Wrapper,,,OpenAI,Financial services,10-50 employees,2-5,2-5,A Developer Productivity Team which also covers machine learning,Between 10% and 30%,,Software Engineer,Individual Contributor (Staff+),22-24,india,Male,,,
05/10/2025 20:51:51,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Tabular, Text / NLP (Non-LLM)","Search, Fraud, Risk, Patterb Matching",Less than 3 months,Azure,Governance and domain risks,MLFlow,FEAST,Azure AI,Airflow,Azure ML Studio,Custom Built In-house tool,Custom Built In-house tool,Snowflake,Azure AI,Financial services,"50,000+ employees",100-1000,100-1000,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team",Less than 10%,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Machine Learning Engineer,Manager,30-34,,Male,,,
05/10/2025 21:08:57,,LLMs,"Marketing Intelligence, Recommender systems, Risk",Less than a month,Azure,"Lack of specialised data scientists, Building production-grade machine learning and data pipelines",Data Version Control (DVC),Custom Built In-house tool,,,Azure ML Studio,Databricks,,Azure DataLake,Anthropic,Technology,10-50 employees,2-5,5-9,Data Platform / Data Engineering Organisation,More than 90%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Business / Domain Practitioner,C-Suite,50-54,Usa,Male,,,
07/10/2025 00:15:50,Sklearn,"Recommender Systems, Time Series / Forecasting","Demand Forecasting, Recommender systems",Less than 3 months,Azure,"Showcasing business impact and business value, Machine learning monitoring and observability, Governance and domain risks",MLFlow,,,Databricks,Databricks,Databricks,Custom Built In-house tool,Deltalake,Azure AI,Retail,"50,000+ employees",1000+,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Manager,30-34,Netherlands,Female,,,
07/10/2025 01:58:55,XGBoost,"Causal Inference, Recommender Systems, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Recommender systems, Fraud, Risk, Pricing",Less than 3 months,Cloudera,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Machine learning monitoring and observability",MLFlow,,,Airflow,Cloudera CML,,Evidently AI,Cloudera CDP,,Financial services,"50,000+ employees",21-100,10-20,Central Machine Learning Platform / Team,Less than 10%,A/B Tests for Models,Data Scientist,Director/VP,35-39,India,Male,Union Bank Of India,,
07/10/2025 02:45:48,Sklearn,"Tabular, Text / NLP (Non-LLM)","Demand Forecasting, Recommender systems",Less than 6 months,Azure,"Inconsistency of training and experimentation environments, Access to relevant data for training, Machine learning monitoring and observability",MLFlow,Databricks,Azure AI,Databricks ,Databricks,Databricks,Databricks lakehouse monitoring ,Azure DataLake,Azure AI,Transportation & warehousing,"5,000-50,000 employees",100-1000,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),25-29,India,Male,,,
07/10/2025 05:16:47,TensorFlow,"Image / Computer Vision, LLMs, Text / NLP (Non-LLM)","Demand Forecasting, Search, Risk",Less than 3 months,Google Cloud Platform,"Access to relevant data for training, Lack of specialised engineers, Machine learning security",Custom Built In-house tool,Custom Built In-house tool,Pinecone,Airflow,Google Cloud Vertex AI,BentoML,Neptune AI,GCP / BigLake,Google Gemini,Technology,"50,000+ employees",,,Central Machine Learning Platform / Team,Between 10% and 30%,"Canary Deployments, CI/CD for continuous deployment",MLOps Engineer,Individual Contributor (Junior to Senior),25-29,INDIA,Male,,,
07/10/2025 09:41:03,Sklearn,"Causal Inference, Recommender Systems, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Governance and domain risks",MLFlow,FEAST,,Azure Data Factory,,,,Azure DataLake,,Consulting,Less than 10 employees,5-9,10-20,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),40-44,South Africa,Male,,,
07/10/2025 09:53:08,LightGBM,"Causal Inference, Time Series / Forecasting","Demand Forecasting, Pricing",Less than a month,Azure,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Machine learning monitoring and observability",MLFlow,Databricks,Azure AI,Databricks,Databricks,Databricks,Custom Built In-house tool,Azure DataLake,Azure AI,Retail,"50,000+ employees",21-100,21-100,Data Platform / Data Engineering Organisation,Between 10% and 30%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,Netherlands,Male,Ahold Delahize,,
07/10/2025 10:54:27,,LLMs,Marketing Intelligence,Less than 3 months,Amazon Web Services,"Showcasing business impact and business value, Machine learning monitoring and observability, Governance and domain risks",Spreadsheets,,,Airflow,Amazon SageMaker,Sagemaker,Custom Built In-house tool,Snowflake,Google Gemini,Technology,"1,000-5,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Software Engineer,Manager,35-39,N/A,Male,,,
07/10/2025 18:05:35,PyTorch/Lightning/Fast.ai,"LLMs, Search, Text / NLP (Non-LLM)","Search, AI Products",Less than a month,Amazon Web Services,"Lack of specialised engineers, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,PGVector,Databricks,Databricks,Databricks,,Deltalake,Amazon Bedrock,Technology,50-250 employees,5-9,10-20,"Central Machine Learning Platform / Team, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Manager,25-29,Germany,Male,,,
07/10/2025 18:40:44,Sklearn,"LLMs, Recommender Systems, Tabular","Demand Forecasting, Recommender systems, Pricing",Less than 3 months,Google Cloud Platform,"Machine learning monitoring and observability, Governance and domain risks",MLFlow,,,Airflow,,,Evidently AI,Snowflake,Nebius,Technology,50-250 employees,5-9,10-20,Central Machine Learning Platform / Team,Between 10% and 30%,,Machine Learning Engineer,,35-39,UK,Female,,,
07/10/2025 19:12:19,Evidently,"Causal Inference, LLMs, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence",Less than 3 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Lack of specialised data scientists",Evidently,Custom Built In-house tool,Pinecone,Custom Built In-house tool,Evidently,Custom Built In-house tool,Evidently AI,Snowflake,Custom Built In-house tool,Technology,10-50 employees,10-20,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team",Between 10% and 30%,A/B Tests for Models,Machine Learning Engineer,Individual Contributor (Staff+),35-39,United Kingdom,Prefer not to disclose,,,
08/10/2025 06:17:38,Sklearn,"Causal Inference, LLMs, Time Series / Forecasting","Demand Forecasting, Recommender systems",Less than 3 months,Azure,"Lack of specialised engineers, Machine learning monitoring and observability, Machine learning security",MLFlow,,,,Databricks,Databricks,,Azure DataLake,Azure AI,AlcoBev,"50,000+ employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Staff+),30-34,South Africa,Male,,,
10/10/2025 20:37:36,PyTorch/Lightning/Fast.ai,"LLMs, Search, Text / NLP (Non-LLM)","Marketing Intelligence, Search",Less than 3 months,Amazon Web Services,Inconsistency of training and experimentation environments,,,,,,,,,,Healthcare,10-50 employees,2-5,2-5,,,,,,,,,,,
12/10/2025 12:19:06,sktime,Time Series / Forecasting,Demand Forecasting,Less than 6 months,Azure,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,,Azure Data Factory,Databricks,,Arize AI,Azure DataLake,OpenAI,Food,"50,000+ employees",100-1000,100-1000,,Less than 10%,CI/CD for continuous deployment,Data Scientist,Manager,40-44,Spain,Male,,,
12/10/2025 13:39:08,All,All,Embedded Systems,More than a year,Self Hosting ,Feasibility,MLFlow,,Custom Built In-house tool,Agilab,Agilab,Agilab,Agilab,Agilab,OpenAI,Aerospace & defense,"50,000+ employees",100-1000,100-1000,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",More than 90%,CI/CD for continuous deployment,Machine Learning Engineer,Individual Contributor (Staff+),55-59,,Male,,,
13/10/2025 09:02:13,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Time Series / Forecasting",Embedded Systems,Less than a year,Azure,Governance and domain risks,MLFlow,,PGVector,Airflow,Azure ML Studio,FastAPI/Flask Wrapper,,Azure DataLake,Anthropic,Industry,10-50 employees,10-20,21-100,,Between 50% and 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),25-29,Austria,Male,,,
15/10/2025 05:05:16,XGBoost,"LLMs, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Search, Fraud, Risk",Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",MLFlow,Custom Built In-house tool,Databricks,Databricks,Databricks,Databricks,Databricks,Azure DataLake,Custom Built In-house tool,Financial services,"50,000+ employees",21-100,100-1000,Central Machine Learning Platform / Team,Less than 10%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),25-29,,Female,,,
15/10/2025 09:42:42,LightGBM,Tabular,"Marketing Intelligence, Fraud, Risk",Less than 6 months,Databricks,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Infrastructure/policies constraints",MLFlow,,,Databricks,Databricks,Databricks,NannyML plus custom library,Databricks on Azure,Azure AI,Utilities,"1,000-5,000 employees",2-5,10-20,Data Platform / Data Engineering Organisation,Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),30-34,Italy,Male,,,
15/10/2025 10:20:47,XGBoost,"Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence",Less than 3 months,Amazon Web Services,"Lack of specialised engineers, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,,Airflow,Amazon SageMaker,Sagemaker,,AWS / Lakeformation,,Media & Entertainment,"250-1,000 employees",100-1000,100-1000,Data Platform / Data Engineering Organisation,Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),60+,Poland,Male,,,
15/10/2025 10:37:39,PyTorch/Lightning/Fast.ai,LLMs,Safety Testing,Less than a week,Google Cloud Platform,Machine learning security,Custom Built In-house tool,,Custom Built In-house tool,Custom Built In-house tool,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Custom Built In-house tool,,Google Gemini,Telecommunications,Less than 10 employees,2-5,5-9,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 50% and 90%,CI/CD for continuous deployment,Data Engineer,C-Suite,40-44,United States,Male,,,
15/10/2025 13:38:19,Catboost,"Image / Computer Vision, LLMs, Recommender Systems, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 3 months,Google Cloud Platform,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines, Machine learning security",Data Version Control (DVC),Hopsworks,Weaviate,Airflow,Azure ML Studio,Databricks,Evidently AI,Azure DataLake,Azure AI,Healthcare,"250-1,000 employees",2-5,2-5,"Central Machine Learning Platform / Team, AI Risk & Governance Function",Between 10% and 30%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Staff+),22-24,Indian ,Female,Nil ,,
17/10/2025 19:52:04,Sklearn,"LLMs, Recommender Systems, Tabular","Recommender systems, Predictive ML",Less than a month,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Showcasing business impact and business value",MLFlow,,Pinecone,,,FastAPI/Flask Wrapper,,,Amazon Bedrock,IT and Software Consultation,50-250 employees,2-5,2-5,Central Machine Learning Platform / Team,More than 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,Pakistan,Male,Virtual Force,,
17/10/2025 20:43:10,XGBoost,"Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Recommender systems, Fraud",Less than a week,Self Hosting ,"Access to relevant data for training, Lack of specialised engineers, Showcasing business impact and business value",Hopsworks Model Registry,Hopsworks,Hopsworks,Airflow,Hopsworks,KServe,Hopsworks,Dremio,DeepSeek V3,Telecommunications,"5,000-50,000 employees",100-1000,1000+,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,Sweden,Male,,,
17/10/2025 20:47:32,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Text / NLP (Non-LLM)",Information Extraction,Less than 6 months,IBM,"Lack of specialised engineers, Machine learning monitoring and observability, Legacy SDLC constraints",Data Version Control (DVC),Custom Built In-house tool,,Custom Built In-house tool,Domino Datalab,Django,Custom Built In-house tool,,Custom Built In-house tool,Financial services,"5,000-50,000 employees",100-1000,100-1000,AI Risk & Governance Function,More than 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),30-34,Belgium,Male,BNP Paribas,,
17/10/2025 21:58:09,XGBoost,"Recommender Systems, Tabular, Time Series / Forecasting","Fraud, Security",Less than a week,Amazon Web Services,"Access to relevant data for training, Building production-grade machine learning and data pipelines",Weights & Biases,Custom Built In-house tool,Custom Built In-house tool,Databricks,Databricks,FastAPI/Flask Wrapper,Neptune AI,Deltalake,OpenAI,Technology,"1,000-5,000 employees",10-20,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",More than 90%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment",Data Scientist,Manager,35-39,Israel,Male,,,
17/10/2025 22:04:26,PerpetualBooster,"Causal Inference, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Recommender systems, Fraud",Less than 3 months,Snowflake,"Building production-grade machine learning and data pipelines, Machine learning monitoring and observability, Machine learning security",Snowflake,Snowflake,Quadrnt,Airflow,Perpetual ML Suite,FastAPI/Flask Wrapper,Perpetual,Perpetual ML Suite,Google Gemini,Financial services,10-50 employees,2-5,5-9,Central Machine Learning Platform / Team,Between 10% and 30%,"Canary Deployments, Development-Staging-Production Environments",Machine Learning Engineer,C-Suite,35-39,Türkiye,Male,Perpetual ML,,
17/10/2025 22:58:25,XGBoost,"LLMs, Time Series / Forecasting",Demand Forecasting,Less than 3 months,Azure,Access to relevant data for training,MLFlow,,Chroma,Databricks,Databricks,FastAPI/Flask Wrapper,,Azure DataLake,Databricks,Retail,"1,000-5,000 employees",5-9,10-20,Data Platform / Data Engineering Organisation,Less than 10%,,Data Scientist,Individual Contributor (Junior to Senior),35-39,Italy,Male,,,
18/10/2025 08:43:47,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Recommender Systems, Search, Text / NLP (Non-LLM)","Search, Recommender systems, Risk, Classification",Less than 3 months,Google Cloud Platform,"Access to relevant data for training, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,Elastic,Custom Built In-house tool,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Custom Built In-house tool,,Google Gemini,Technology,10-50 employees,10-20,10-20,,More than 90%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,C-Suite,,,,,,
18/10/2025 15:44:03,PyTorch/Lightning/Fast.ai,"Causal Inference, LLMs, Time Series / Forecasting","Demand Forecasting, Recommender systems, Pricing",Less than a month,Google Cloud Platform,"Showcasing business impact and business value, Machine learning monitoring and observability, Governance and domain risks",MLFlow,,Custom Built In-house tool,Airflow,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Evidently AI,GCP / BigLake,OpenAI,Technology,"5,000-50,000 employees",21-100,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,Chile ,Male,,,
18/10/2025 23:46:23,Sklearn,"Causal Inference, Tabular, Time Series / Forecasting",Risk,Less than 3 months,Amazon Web Services,"Access to relevant data for training, Lack of specialised engineers, Building production-grade machine learning and data pipelines",MLFlow,Custom Built In-house tool,,,,,,,,Transportation & warehousing,10-50 employees,1,2-5,,,,Data Scientist,Individual Contributor (Junior to Senior),35-39,USA,Female,,,
19/10/2025 17:03:14,Sklearn,"Causal Inference, Image / Computer Vision, Recommender Systems",AI Products,Less than 3 months,Google Cloud Platform,"Access to relevant data for training, Building production-grade machine learning and data pipelines",,,,,,,,,,Technology,Less than 10 employees,0,2-5,Central Machine Learning Platform / Team,Less than 10%,,Machine Learning Engineer,Individual Contributor (Junior to Senior),18-21,India,Male,Jiet college ,,
19/10/2025 17:07:34,Sklearn,"LLMs, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Pricing",Less than 3 months,Azure,"Access to relevant data for training, Lack of specialised engineers, Building production-grade machine learning and data pipelines",MLFlow,Custom Built In-house tool,Milvus,Custom Built In-house tool,Azure ML Studio,FastAPI/Flask Wrapper,Evidently AI,Snowflake,Custom Built In-house tool,Energy,"1,000-5,000 employees",21-100,10-20,,Between 10% and 30%,CI/CD for continuous deployment,Machine Learning Engineer,Individual Contributor (Staff+),40-44,Denmark,Male,,,
19/10/2025 17:09:46,PyTorch/Lightning/Fast.ai,"Recommender Systems, Tabular",Recommender systems,Less than 3 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Access to relevant data for training",Custom Built In-house tool,Custom Built In-house tool,,GCP Vertex AI pipelines,Google Cloud Vertex AI,Nvidia triton,Custom Built In-house tool,Custom Built In-house tool,,"Adtech, gaming","1,000-5,000 employees",100-1000,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),35-39,Finland,Male,,,
19/10/2025 17:26:35,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Text / NLP (Non-LLM)",Translation,Less than 6 months,Amazon Web Services,Building production-grade machine learning and data pipelines,MLFlow,Custom Built In-house tool,,Custom Built In-house tool,Custom Built In-house tool,FastAPI/Flask Wrapper,,Custom Built In-house tool,,Telecommunications,"5,000-50,000 employees",2-5,5-9,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,Development-Staging-Production Environments,MLOps Engineer,Individual Contributor (Junior to Senior),35-39,Brazil,Male,,,
19/10/2025 21:40:21,PyTorch/Lightning/Fast.ai,"LLMs, Search, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Pricing",Less than 3 months,Azure,"Access to relevant data for training, Lack of specialised engineers, Governance and domain risks",MLFlow,Custom Built In-house tool,Custom Built In-house tool,Airflow,Azure ML Studio,FastAPI/Flask Wrapper,Custom Built In-house tool,AWS / Lakeformation,Azure AI,Food,"5,000-50,000 employees",100-1000,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,CI/CD for continuous deployment,Data Scientist,C-Suite,40-44,Spain,Male,,,
20/10/2025 00:15:40,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 6 months,Self Hosting ,"Gaps in tooling and support for model productionisation, Lack of specialised engineers, Showcasing business impact and business value",Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Edu,"250-1,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"Progressive Rollouts, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),50-54,Australia,Male,,,
20/10/2025 01:34:25,Sklearn,Tabular,"Fraud, Risk, Pricing",Less than a week,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Building production-grade machine learning and data pipelines",MLFlow,Custom Built In-house tool,,Databricks,Metaflow,FastAPI/Flask Wrapper,Custom Built In-house tool,Deltalake,Amazon Bedrock,Financial services,"1,000-5,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),30-34,USA,Male,,,
20/10/2025 13:38:58,TensorFlow,"LLMs, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Search",Less than a year,Amazon Web Services,,,,,,,,,,,,,,,,,,,,,,,,,
